Value,Disaggregation combinations using this value,Number of indicators
Omealca,15,2
Ometepec,15,2
Omitlán de Juárez,15,2
Onavas,15,2
Opichén,15,2
Opodepe,15,2
Oquitoa,15,2
Oriental,15,2
Orizaba,15,2
Ostuacán,15,2
Osumacinta,15,2
Otatitlán,15,2
Oteapan,15,2
Othón P. Blanco,15,2
Otumba,15,2
Otzoloapan,15,2
Otzolotepec,15,2
Otáez,15,2
Oxchuc,15,2
Oxkutzcab,15,2
Ozuluama de Mascareñas,15,2
Ozumba,15,2
Pabellón de Arteaga,15,2
Pachuca de Soto,15,2
Pacula,15,2
Padilla,15,2
Pahuatlán,15,2
Pajacuarán,15,2
Pajapan,15,2
Palenque,15,2
Palizada,15,2
Palmar de Bravo,15,2
Palmillas,15,2
Panabá,15,2
Panindícuaro,15,2
Panotla,15,2
Pantelhó,15,2
Pantepec,30,2
Papalotla de Xicohténcatl,15,2
Papalotla,15,2
Papantla,15,2
Paracho,15,2
Paraíso,15,2
Parras,15,2
Parácuaro,15,2
Parás,15,2
Paso de Ovejas,15,2
Paso del Macho,15,2
Pedro Ascencio Alquisiras,15,2
Pedro Escobedo,15,2
Penjamillo,15,2
Peribán,15,2
Perote,15,2
Pesquería,15,2
Petatlán,15,2
Petlalcingo,15,2
Peto,15,2
Peñamiller,15,2
Peñón Blanco,15,2
Piaxtla,15,2
Pichucalco,15,2
Piedras Negras,15,2
Pihuamo,15,2
Pijijiapan,15,2
Pilcaya,15,2
Pinal de Amoles,15,2
Pinos,15,2
Pinotepa de Don Luis,15,2
Pisaflores,15,2
Pitiquito,15,2
Platón Sánchez,15,2
Playa Vicente,15,2
Playas de Rosarito,15,2
Pluma Hidalgo,15,2
Poanas,15,2
Polotitlán,15,2
Poncitlán,15,2
Poza Rica de Hidalgo,15,2
Praxedis G. Guerrero,15,2
Progreso de Obregón,15,2
Progreso,30,2
Puebla,15,2
Pueblo Nuevo Solistahuacán,15,2
Pueblo Nuevo,30,2
Pueblo Viejo,15,2
Puente de Ixtla,15,2
Puente Nacional,15,2
Puerto Morelos,15,2
Puerto Peñasco,15,2
Puerto Vallarta,15,2
Pungarabato,15,2
Puruándiro,15,2
Purépero,15,2
